Invoice ID,Unit price,Quantity,Tax 5%,Total,Date,Time,cogs,gross margin percentage,gross income,Rating,Branch_A,Branch_B,Branch_C,Gender_Female,Gender_Male,Payment_Cash,Payment_Credit card,Payment_Ewallet,City_Mandalay,City_Naypyitaw,City_Yangon,Customer type_Member,Customer type_Normal,Product line_Electronic accessories,Product line_Fashion accessories,Product line_Food and beverages,Product line_Health and beauty,Product line_Home and lifestyle,Product line_Sports and travel,Year,Month,DayOfWeek,Z-score
750-67-8428,0.7188473520249221,0.6666666666666665,26.1415,0.5216161492831923,2019-01-05,13:08,522.83,4.761904762,26.1415,9.1,True,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,2019,1,5,0.9196068488798468
226-31-3081,0.05785491766800177,0.4444444444444445,3.82,0.06738703539777988,2019-03-08,10:29,76.4,4.761904762,3.82,9.6,False,False,True,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,2019,3,4,-0.9877295584981627
631-41-3108,0.40331553182020474,0.6666666666666665,16.2155,0.3196280129829167,2019-03-03,13:23,324.31,4.761904762,16.2155,7.4,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,2019,3,6,0.07144605414678162
123-19-1176,0.5356030262572319,0.7777777777777777,23.288,0.4635491387116795,2019-01-27,20:33,465.76,4.761904762,23.288,8.4,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,2019,1,6,0.6757798462835543
373-73-7910,0.8481308411214954,0.6666666666666665,30.2085,0.604377155764476,2019-02-08,10:37,604.17,4.761904762,30.2085,5.3,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,2019,2,4,1.2671254819827464
699-14-3026,0.8378949710725413,0.6666666666666665,29.8865,0.5978246492272314,2019-03-25,18:30,597.73,4.761904762,29.8865,4.1,False,False,True,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,False,2019,3,0,1.2396110979505026
355-53-5943,0.6537605696484202,0.5555555555555556,20.652,0.40990812246268427,2019-02-25,14:36,413.04,4.761904762,20.652,5.8,True,False,False,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,2019,2,0,0.450537870168668
315-22-5665,0.7062750333778371,1.0,36.78,0.7381032325020602,2019-02-24,11:38,735.6,4.761904762,36.78,8.0,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,2019,2,6,1.8286496269140717
665-32-9167,0.29127725856697817,0.1111111111111111,3.626,0.06343925195608599,2019-01-10,17:15,72.52,4.761904762,3.626,7.2,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,2019,1,3,-1.0043065476356012
692-92-5582,0.4979973297730308,0.2222222222222222,8.226,0.15704648820243583,2019-02-20,13:27,164.52,4.761904762,8.226,5.9,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,2019,2,2,-0.6112439186035538
